id,City,latitude,longitude,1970,1978,1989,1995,2005,2010,2016
1,San Francisco,37.773972,-122.431297,714149,677661,725889,746386,777660,805766,870887
2,Los Angeles,34.052235,-118.243683,2811000,2968000,3485000,3534400,3810000,3796100,3976000
3,Seattle,47.608013,-122.335167,530831,493846,515761,530379,575427,610333,707255
4,Vancouver,49.246292,-123.116226,426000,426000,478247,514008,578041,603502,631486
5,Houston,29.759438,-95.369957,1233000,1595000,1631000,1779000,2022000,2106000,2303000
6,Chicago,41.881832,-87.623177,3366000,3005000,2786000,2802000,2829000,2698000,2705000
7,New York,40.73061,-73.935242,7895000,7071000,7322200,7350000,7940000,8194000,8615000
8,London,51.509865,-0.118092,7509000,7660000,8054000,8323000,9119000,9699000,10313000
9,Paris,48.864716,2.349014,8208000,8669000,9330000,9510000,10092000,10460000,10843000
10,Madrid,40.416775,-3.70379,3521000,4253000,4414000,4688000,5383000,5787000,6200000
11,Sydney,-33.865143,151.2099,2892000,3252000,3632000,3819000,4225000,4364000,4505000
12,Toronto,43.623409,-79.368683,2535000,3008000,3807000,4197000,5035000,5500000,5993000
13,Hong Kong,22.302219,114.174637,3959000,4668000,5686000,6156000,6813000,7068000,7347000
14,Dubai,25.276987,55.296249,80000,254000,473000,650000,1268000,1778000,2415000
15,Kuala Lumpur,3.1412001,101.6865311,451000,971000,2098000,2975000,4927000,5810000,6837000
16,Tokyo,35.652832,139.839478,8840000,8351000,8163000,8300000,8500000,9000000,9273000
